Culture;1;2;3;4;5;6;7;8;Day
Pao1;0,4552;0,2997;0,2464;0,2532;0,2509;0,2672;0,2678;0,4056;1
KP1;0,082;0,0947;0,0934;0,0959;0,0892;0,0873;0,1005;0,1267;1
PF5;0,2789;0,2489;0,1765;0,2458;0,254;0,1434;0,2572;0,2718;1
Pao1_KP1;1,0841;0,3991;0,4593;0,3691;0,3719;0,3884;0,3444;0,4856;1
Pao1_KP1;0,686;0,9119;0,4577;0,3745;0,458;0,9149;0,5206;0,595;1
Pao1_PF5;0,6131;0,4359;0,3183;0,2856;0,3063;0,3315;0,3094;0,3697;1
Pao1_PF5;0,4954;0,4228;0,2993;0,2508;0,2574;0,255;0,2184;0,2926;1
KP1_PF5;0,3633;0,3768;0,1863;0,1374;0,1486;0,2324;0,1942;0,1865;1
TC;0,9136;0,5436;0,3748;0,3294;0,3289;0,2858;0,2934;0,4373;1
TC;0,7967;0,8567;0,3405;0,2955;0,3106;0,3127;0,3347;0,3396;1
TC;1,0215;0,6011;0,3803;0,3569;0,3648;0,3586;0,4024;0,427;1
Control;0,1377;0,1516;0,1631;0,1349;0,1126;0,1332;0,1679;0,1853;1
Pao1;0,5829;0,586;0,3539;0,2874;0,4216;0,312;0,624;0,379;2
KP1;0,2601;0,1565;0,1627;0,0874;0,0888;0,0909;0,1002;0,115;2
PF5;0,1959;0,1969;0,1317;0,0925;0,1163;0,096;0,0883;0,1225;2
Pao1_KP1;1,0916;0,839;0,8207;0,7192;0,7609;0,8749;0,8544;1,0779;2
Pao1_KP1;0,9639;0,8993;0,8671;0,6981;0,8156;0,9265;0,8688;0,8569;2
Pao1_PF5;0,9196;0,7844;0,5418;0,4307;0,4385;0,5479;0,6132;0,6658;2
Pao1_PF5;0,8456;0,611;0,4399;0,4434;0,4195;0,3851;0,5984;0,6719;2
KP1_PF5;0,309;0,2807;0,1447;0,1083;0,1189;0,142;0,1585;0,1545;2
TC;0,7966;0,7314;0,5064;0,4326;0,4328;0,6271;0,6805;0,6901;2
TC;0,8887;0,8234;0,6278;0,439;0,4222;0,4346;0,6316;0,4602;2
TC;0,7033;0,6453;0,383;0,3205;0,2605;0,2549;0,3809;0,3198;2
Control;0,2417;0,2076;0,1401;0,1511;0,1561;0,1492;0,1709;0,1666;2
Pao1;0,3321;0,3597;0,3044;0,3029;0,3164;0,3178;0,3081;0,3742;3
KP1;0,1092;0,1166;0,1298;0,1202;0,1258;0,1229;0,1144;0,1596;3
PF5;0,149;0,3137;0,3838;0,356;0,3204;0,3234;0,3267;0,384;3
Pao1_KP1;0,2963;0,4859;0,395;0,4113;0,3919;0,4032;0,4405;0,427;3
Pao1_KP1;0,3746;0,4995;0,4207;0,4514;0,4218;0,4215;0,4069;0,4124;3
Pao1_PF5;0,3736;0,4344;0,5067;0,5329;0,4474;0,5437;0,4383;0,5789;3
Pao1_PF5;0,407;0,5663;0,485;0,545;0,5038;0,469;0,5066;0,5511;3
KP1_PF5;0,3225;0,2662;0,3083;0,2946;0,2871;0,2882;0,3233;0,3398;3
TC;0,4004;0,2586;0,2946;0,2833;0,2629;0,3596;0,3291;0,3762;3
TC;0,5235;0,3612;0,3104;0,3227;0,3028;0,3819;0,3255;0,3994;3
TC;0,4501;0,2894;0,3043;0,2831;0,2932;0,3076;0,3055;0,3645;3
Control;0,1779;0,1579;0,1336;0,1518;0,1712;0,1611;0,2016;0,2267;3
Pao1;0,4568;0,2257;0,1835;0,1905;0,2002;0,1905;0,1891;0,366;4
KP1;0,1072;0,0891;0,1034;0,0958;0,0899;0,1356;0,1387;0,1514;4
PF5;0,1722;0,2452;0,2084;0,2241;0,2308;0,2252;0,3028;0,3607;4
Pao1_KP1;0,196;0,1943;0,1761;0,1945;0,196;0,2039;0,1826;0,27;4
Pao1_KP1;0,1967;0,2298;0,1791;0,1876;0,1813;0,1745;0,1735;0,2666;4
Pao1_PF5;0,2242;0,2404;0,2859;0,2199;0,2005;0,2269;0,2111;0,3391;4
Pao1_PF5;0,2596;0,2021;0,2243;0,2089;0,2529;0,2385;0,2463;0,4255;4
KP1_PF5;0,1295;0,1341;0,1522;0,2146;0,2125;0,1233;0,1867;0,1902;4
TC;0,2424;0,1842;0,2077;0,1814;0,1773;0,1925;0,1858;0,3034;4
TC;0,3028;0,1951;0,189;0,1809;0,1677;0,1808;0,2062;0,3328;4
TC;0,3552;0,225;0,2207;0,179;0,182;0,1957;0,2012;0,3203;4
Control;0,128;0,0931;0,095;0,0937;0,0941;0,1024;0,1161;0,1579;4
Pao1;0,3404;0,1993;0,1988;0,1934;0,1816;0,1783;0,2172;0,4396;5
KP1;0,0914;0,0782;0,0908;0,0852;0,0822;0,0825;0,0848;0,1205;5
PF5;0,1155;0,1031;0,1080;0,1060;0,0941;0,1035;0,0936;0,1223;5
Pao1_KP1;0,2365;0,1651;0,1546;0,1549;0,1565;0,1548;0,1643;0,2045;5
Pao1_KP1;0,2159;0,1750;0,1921;0,1777;0,1797;0,1636;0,1854;0,2794;5
Pao1_PF5;0,2923;0,2069;0,1885;0,2141;0,1944;0,1740;0,1831;0,3201;5
Pao1_PF5;0,2923;0,2427;0,2156;0,2291;0,1935;0,1768;0,1863;0,3453;5
KP1_PF5;0,1209;0,0965;0,1117;0,0887;0,0866;0,0858;0,1058;0,1411;5
TC;0,2511;0,1636;0,1440;0,1479;0,1598;0,1542;0,1349;0,2170;5
TC;0,2506;0,1933;0,1641;0,1294;0,1598;0,1472;0,1349;0,2787;5
TC;0,4363;0,2175;0,1602;0,1446;0,1914;0,1406;0,1587;0,3616;5
Control;0,0967;0,0983;0,1255;0,0848;0,0883;0,0873;0,0832;0,1223;5
