Culture;1;2;3;4;5;6;7;8;Day
Pao1;0,2843;0,3362;0,3364;0,3236;0,316;0,3159;0,2986;0,2876;1
KP1;0,279;0,2659;0,2592;0,2617;0,2645;0,263;0,2677;0,2668;1
PF5;0,2392;0,2564;0,2948;0,2997;0,2617;0,3086;0,2755;0,2121;1
Pao1_KP1;0,2674;0,3248;0,3036;0,3161;0,3301;0,3073;0,305;0,2791;1
Pao1_KP1;0,2916;0,3141;0,3129;0,322;0,3256;0,3134;0,3065;0,2981;1
Pao1_PF5;0,2631;0,3158;0,3217;0,2903;0,3077;0,2816;0,3285;0,2832;1
Pao1_PF5;0,2635;0,3064;0,3046;0,3031;0,2941;0,2992;0,3514;0,2878;1
KP1_PF5;0,2172;0,3025;0,3164;0,3152;0,3248;0,3284;0,3439;0,3166;1
TC;0,2527;0,2955;0,3134;0,2864;0,2814;0,282;0,2706;0,2734;1
TC;0,2585;0,2889;0,2913;0,2918;0,2791;0,2881;0,2725;0,2725;1
TC;0,2674;0,2889;0,293;0,283;0,2862;0,2812;0,2728;0,2728;1
Control;0,0341;0,0348;0,0373;0,0352;0,0352;0,0353;0,0438;0,0348;1
Pao1;0,2949;0,3423;0,3284;0,3195;0,3082;0,3176;0,3118;0,3021;2
KP1;0,3434;0,2976;0,288;0,297;0,3031;0,2971;0,3109;0,298;2
PF5;0,2293;0,3491;0,343;0,3419;0,3426;0,3424;0,3504;0,3969;2
Pao1_KP1;0,2916;0,2861;0,2854;0,2801;0,2853;0,2753;0,2723;0,25;2
Pao1_KP1;0,36;0,2775;0,2788;0,2904;0,2888;0,2687;0,2628;0,2506;2
Pao1_PF5;0,2758;0,3258;0,3309;0,3102;0,3183;0,3139;0,3225;0,3183;2
Pao1_PF5;0,2686;0,3024;0,3003;0,3091;0,3095;0,3018;0,3102;0,3193;2
KP1_PF5;0,3599;0,3608;0,3673;0,3606;0,3544;0,3577;0,3663;0,3716;2
TC;0,268;0,3185;0,2868;0,2924;0,2961;0,2606;0,258;0,2537;2
TC;0,2677;0,3096;0,2964;0,3037;0,2847;0,2762;0,2755;0,2839;2
TC;0,2706;0,3084;0,2875;0,2785;0,2729;0,2836;0,2985;0,2842;2
Control;0,035;0,0349;0,0349;0,0341;0,0354;0,0348;0,0345;0,0351;2
Pao1;0,2913;0,2785;0,2668;0,2834;0,29;0,2769;0,2611;0,2678;3
KP1;0,283;0,2697;0,2653;0,2617;0,2737;0,2666;0,2706;0,2868;3
PF5;0,3632;0,3628;0,3595;0,3528;0,3608;0,3595;0,3731;0,4599;3
Pao1_KP1;0,285;0,3005;0,3177;0,3131;0,321;0,3016;0,3013;0,2887;3
Pao1_KP1;0,2789;0,2881;0,3153;0,2879;0,316;0,2924;0,3002;0,297;3
Pao1_PF5;0,2635;0,3191;0,3231;0,3401;0,3411;0,335;0,3348;0,3303;3
